objectid,location_name,location_address,address_line__2,city,state,zip_code,county,regionsize,matchscore,latitude,longitude,matchtype,location_type,accepts_snap,organization,co_sponsor,type,frequency,day,times,year_round_or_dates,description,eligibility_requirements,eligibility_requirement,no_photo_id_required,no_registration_required,restricted_access_only_members_o,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,income_maximum_for_eligibility,delivery_available,prepared_meals,grocery_items,fresh_produce,languages_spoken_other_than_engl,other_services_provided_diapers,other_services_provided_baby_for,other_services_provided_financia,other_services_provided_clothing,other_services_provided,metro,bus,store_type,loctype_fresh
3466,Super A Market,2800 Graham Rd,,Falls Church,VA,22042,FAIRFAX,7049.9434,98.99408,38.875717,-77.191238,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
3986,Naz Foods Halal Meat & Grocery,4231 Markham St,Ste C,Annandale,VA,22003,FAIRFAX,12324.294,100,38.832706,-77.197746,Exact,SNAP-retailer,1,,,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,
4922,Centro Market,2930 Patrick Henry Dr,,Falls Church,VA,22044,FAIRFAX,23985.146,96,38.869884,-77.147133,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
4931,Lideta Market,1607 S Glebe Rd,,Arlington,VA,22204,ARLINGTON,498.6814,95.325447,38.890587,-77.119003,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
5939,Walmart Supercenter 5936,1500 Conerside Blvd,,Vienna,VA,22182,FAIRFAX,30597138,60,38.928478,-77.261482,Relaxed;Soundex,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
6699,Asni Inc,1045 S Edgewood St,,Arlington,VA,22204,ARLINGTON,2855.9011,100,38.862259,-77.086182,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
6878,Community Foodworks Huntington Farmers Market,5919 N Kings Hwy,,Alexandria,VA,22303,FAIRFAX,2276.5518,98.99408,38.78907,-77.076416,Relaxed,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
7048,Giant Food 763,359 Maple Ave E,,Vienna,VA,22180,FAIRFAX,5492.7407,100,38.906231,-77.259224,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7050,Giant Food 780,3480 S Jefferson St,,Falls Church,VA,22041,FAIRFAX,1233.4386,98.99408,38.851833,-77.119354,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7051,Giant Food 756,8320 Old Keene Mill Rd,,Springfield,VA,22152,FAIRFAX,8045.1655,99.899406,38.779987,-77.230064,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
